id_arrangement|description|type|arrangement_index|is_obsolete|is_national|is_default|is_exclusive
1|Riesgo procesal de incomparecencia;|1|1|0|1|1|0
2|Riesgo procesal para víctimas y testigos;|1|2|0|1|1|0
3|Riesgo procesal para la investigación;|1|3|0|1|1|0
4|La prisión preventiva.|1|4|0|1|0|1
5|La presentación periódica ante el juez o ante autoridad distinta que aquél designe;  |1|5|0|1|0|0
6|La exhibición de una garantía económica;  |1|6|0|1|0|0
7|El embargo de bienes;  |1|7|0|1|0|0
8|La inmovilización de cuentas y demás valores que se encuentren dentro del sistema financiero;  |1|8|0|1|0|0
9|La prohibición de salir sin autorización del país, de la localidad en la cual reside o del ámbito territorial que fije el juez;  |1|9|0|1|0|0
10|El sometimiento al cuidado o vigilancia de una persona o institución determinada o internamiento a institución determinada;  |1|10|0|1|0|0
11|La prohibición de concurrir a determinadas reuniones o acercarse o ciertos lugares;  |1|11|0|1|0|0
12|La prohibición de convivir, acercarse o comunicarse con determinadas personas, con las víctimas u ofendidos o testigos, siempre que no se afecte el derecho de defensa;  |1|12|0|1|0|0
13|La separación inmediata del domicilio;  |1|13|0|1|0|0
14|La suspensión temporal en el ejercicio del cargo cuando se le atribuye un delito cometido por servidores públicos;  |1|14|0|1|0|0
15|La suspensión temporal en el ejercicio de una determinada actividad profesional o laboral;  |1|15|0|1|0|0
16|La colocación de localizadores electrónicos;  |1|16|0|1|0|0
17|El resguardo en su propio domicilio con las modalidades que el juez disponga, o  |1|17|0|1|0|0
18|Residir en un lugar determinado;  |2|1|0|1|0|0
19|Frecuentar o dejar de frecuentar determinados lugares o personas;  |2|2|0|1|0|0
20|Abstenerse de consumir drogas o estupefacientes o de abusar de las bebidas alcohólicas;  |2|3|0|1|0|0
21|Participar en programas especiales para la prevención y el tratamiento de adicciones;  |2|4|0|1|0|0
22|Aprender una profesión u oficio o seguir cursos de capacitación en el lugar o la institución que determine el Juez de control;  |2|5|0|1|0|0
23|Prestar servicio social a favor del Estado o de instituciones de beneficencia pública;  |2|6|0|1|0|0
24|Someterse a tratamiento médico o psicológico, de preferencia en instituciones públicas;  |2|7|0|1|0|0
25|Tener un trabajo o empleo, o adquirir, en el plazo que el Juez de control determine, un oficio, arte, industria o profesión, si no tiene medios propios de subsistencia;  |2|8|0|1|0|0
26|Someterse a la vigilancia que determine el Juez de control;  |2|9|0|1|0|0
27|No poseer ni portar armas;  |2|10|0|1|0|0
28|No conducir vehículos;  |2|11|0|1|0|0
29|Abstenerse de viajar al extranjero;|2|12|0|1|0|0
30|Cumplir con los deberes de deudor alimentario, o  |2|13|0|1|0|0
31|Cualquier otra condición que, a juicio del Juez de control, logre una efectiva tutela de los derechos de la víctima.|2|14|0|1|0|0
32|Art. 194. Plan de reparación.|2|15|0|1|0|0
33|Riesgo procesal de incomparecencia;|1|1|0|0|1|0
34|Riesgo procesal para víctimas y testigos;|1|2|0|0|1|0
35|Riesgo procesal para la investigación;|1|3|0|0|1|0
36|La prisión preventiva;|1|4|0|0|0|1
37|Promesa del imputado|1|5|0|0|0|1
38|La prohibición de salir del país, de la localidad en la cual reside o del ámbito territorial que fije el juez;|1|6|0|0|0|0
39|La obligación de someterse al cuidado o vigilancia de una persona o institución determinada, que informe regularmente al juez;|1|7|0|0|0|0
