id|name|description|channeling_type_id|obsolete
1|Acciona Transformado caminos para ser y hacer A.C.|Empleo|6|0
2|Acciona Transformado caminos para ser y hacer A.C.|Escolaridad|4|0
3|Acciona Transformado caminos para ser y hacer A.C.|Tratamiento para adicciones|3|0
4|CLIMTA Nuevo Amanecer A.C.|Examen toxicológico|2|0
5|CLIMTA Nuevo Amanecer A.C.|Tratamiento para adicciones|3|0
6|Fundación Telmex Reintegra|Garantía económica|8|0
7|Central Mexicana de Alcohólicos Anónimos|Tratamiento para adicciones|3|0
8|Fundación Don Bosco A.C.|Escolaridad|4|0
9|Centros de Integración Juvenil A.C.|Tratamiento para adicciones|3|0
10|Fundación Vamos por Morelos|Empleo|6|0
11|Fundación Vamos por Morelos|Escolaridad|4|0
12|Grupo Renacimiento A.C. Drogadictos Anónimos|Internamiento para tratamiento de adicciones|7|0
13|Laboratorio Marbán|Examen toxicológico|2|0
14|Centros Nueva Vida (Servicios de Salud)|Tratamiento para adicciones|3|0
15|Unidad de servicios psicológicos UAEM|Tratamiento psicológico|5|0
16|Convivemh (servicios de salud)|Tratamiento psicológico|5|0
17|DIF|Tratamiento psicológico|5|0
18|DIF|Apoyo económico|1|0
19|ICATMOR|Escolaridad|4|0
20|ICATMOR|Empleo|6|0
21|CECATI|Escolaridad|4|0
22|CECATI|Empleo|6|0
23|Brigada Educativa para el Desarrollo Rural BEDR 94|Escolaridad|4|0
24|Brigada Educativa para el Desarrollo Rural BEDR 94|Empleo|6|0
25|Servicio Nacional del Empleo|Empleo|6|0
26|INEA|Escolaridad|4|0
27|Pronapred/Instituto de la mujer|Tratamiento psicológico|5|0
