id|name|description|obsolete
1|Abigeato|Abigeato|0
2|Aborto|Aborto|0
3|Aborto con consentimiento de la mujer|Aborto con consentimiento de la mujer|0
4|Abuso de autoridad|Abuso de autoridad|0
5|Abuso de confianza|Abuso de confianza|0
6|Abuso sexual|Abuso sexual|0
7|Abuso sexual agravado|Abuso sexual agravado|0
8|Acopio de armas|Acopio de armas|0
9|Acusación o denuncias falsas|Acusación o denuncias falsas|0
10|Administración fraudulenta|Administración fraudulenta|0
11|Allanamiento de morada|Allanamiento de morada|0
12|Alteración de la imagen urbana|Alteración de la imagen urbana|0
13|Amenazas|Amenazas|0
14|Asalto|Asalto|0
15|Asociación delictuosa|Asociación delictuosa|0
16|Asonada o motín|Asonada o motín|0
17|Ataques a las vías de comunicación|Ataques a las vías de comunicación|0
18|Auxilio al suicidio|Auxilio al suicidio|0
19|Bigamia|Bigamia|0
20|Coacción|Coacción|0
21|Coalición|Coalición|0
22|Cohecho|Cohecho|0
23|Concusión|Concusión|0
24|Daño|Daño|0
25|Delitos cometidos contra los derechos electorales de los ciudadanos|Delitos cometidos contra los derechos electorales de los ciudadanos|0
26|Delitos cometidos en el ejercicio de una actividad profesional, artística o técnica|Delitos cometidos en el ejercicio de una actividad profesional, artística o técnica|0
27|Delitos cometidos por abogados, defensores y litigantes|Delitos cometidos por abogados, defensores y litigantes|0
28|Delitos cometidos por fraccionadores|Delitos cometidos por fraccionadores|0
29|Delitos cometidos por servidores públicos|Delitos cometidos por servidores públicos|0
30|Delitos contra el equilibrio ecológico y la protección al ambiente|Delitos contra el equilibrio ecológico y la protección al ambiente|0
31|Delitos contra el estado civil|Delitos contra el estado civil|0
32|Delitos contra el respeto a los muertos, violación de las leyes sobre inhumación y exhumación de cadáveres|Delitos contra el respeto a los muertos, violación de las leyes sobre inhumación y exhumación de cadáveres|0
33|Delitos contra la filiación|Delitos contra la filiación|0
34|Delitos contra la seguridad del tránsito de vehículos|Delitos contra la seguridad del tránsito de vehículos|0
35|Delitos contra menores de edad y de quienes no tienen la capacidad de comprender el significado del hecho|Delitos contra menores de edad y de quienes no tienen la capacidad de comprender el significado del hecho|0
36|Delitos informáticos|Delitos informáticos|0
37|Deltios políticos|Delitos políticos|0
38|Despojo|Despojo|0
39|Ejercicio abusivo de funciones|Ejercicio abusivo de funciones|0
40|Ejercicio indebido de servicio público|Ejercicio indebido de servicio público|0
41|Ejercicio indebido del propio derecho|Ejercicio indebido del propio derecho|0
42|Encubrimiento por favorecimiento|Encubrimiento por enfavorecimiento|0
43|Encubrimiento por receptación|Encubrimiento por receptación|0
44|Enriquecimiento ilícito|Enriquecimiento ilícito|0
45|Estorbo del aprovechamiento de bienes de uso común|Estorbo del aprovechamiento de bienes de uso común|0
46|Estupro|Estupro|0
47|Evasión de preso|Evasión de preso|0
48|Exposición de incapaces|Exposición de incapaces|0
49|Fabricación de armas|Fabricación de armas|0
50|Falsedad ante autoridad|Falsedad ante autoridad|0
51|Falsificación de documentos|Falsificación de documentos|0
52|Falsificación de sellos, marcas, llaves, signos, contraseñas y obras|Falsificación de sellos, marcas, llaves, signos, contraseñas y obras|0
53|Fraude|Fraude|0
54|Fraude específico|Fraude específico|0
55|Fraude genérico|Fraude genérico|0
56|Fraude procesal|Faude procesal|0
57|Homicidio a petición expresa|Homicidio a petición expresa|0
58|Homicidio culposo|Homicidio culposo|0
59|Homicidio en grado de tentativa|Homicidio en grado de tentativa|0
60|Homicidio en riña|Homicidio en riña|0
61|Hostigamiento sexual|Hostigamiento sexual|0
62|Incesto|Incesto|0
63|Incumplimiento de funciones públicas|Incumplimiento de funciones públicas|0
64|Incumplimiento de las obligaciones de asistencia alimentariaIncumplimiento de las obligaciones de asistencia alimentaria|Incumplimiento de las obligaciones de asistencia alimentariaIncumplimiento de las obligaciones de asistencia alimentaria|0
65|Inducción al suicidio|Inducción al suicidio|0
66|Insolvencia fraudulenta en perjuicio de acreedores|Insolvencia fraudulenta en perjuicio de acreedores|0
67|Intimidación|Intimidación|0
68|Lesiones|Lesiones|0
69|Lesiones calificadas|Lesiones calificadas|0
70|Lesiones culposas|Lesiones culposas|0
71|Lesiones en riña|Lesiones en riña|0
72|Motín, daño y obstrucción de medios de comunicación|Motín, daño y obstrucción de medios de comunicación|0
73|Narcomenudeo, con fines de venta|Narcomenudeo, con fines de venta|0
74|Narcomenudeo, posesión simple de cocaína|Narcomenudeo, posesión simple de cocaína|0
75|Narcomenudeo, posesión simple de heroína|Narcomenudeo, posesión simple de heroína|0
76|Narcomenudeo, posesión simple de marihuana|Narcomenudeo, posesión simple de marihuana|0
77|Obstrucción de justicia|Obstrucción de justicia|0
78|Obstrucción de la justicia|Obstrucción de la justicia|0
79|Omisión de auxilio|Omisión de auxilio|0
80|Omisión de auxilio a lesionados|Omisión de auxilio a lesionados|0
81|Omisión de cuidado|Omisión de cuidado|0
82|Peculado|Peculado|0
83|Peligro de contagio|Peligro de contagio|0
84|Peligro de devastación|Peligro de devastación|0
85|Portación de arma blanca|Portación de arma|0
86|Portación, fabricación, importación y acopio de armas|Portación, fabricación, importación y acopio de armas|0
87|Posesión de vehículo robado|Posesión de vehículo robado|0
88|Privación ilegal de la libertad|Privación ilegal de la libertad|0
89|Procurar o consentir el aborto|Procurar o consentir el aborto|0
90|Provocación a cometer un delito o apología de este|Provocación a cometer un delito o apología de este|0
91|Quebrantamiento de sanciones|Quebrantamiento de sanciones|0
92|Quebrantamiento de sellos|Quebrantamiento de sellos|0
93|Rebelión|Rebelión|0
94|Resistencia a particulares|Resistencia a particulares|0
95|Resistencia de particulares y desobediencia|Resistencia de particulares y desobediencia|0
96|Revelación o aprovechamiento de secreto|Revelación o aprovechamiento de secreto|0
97|Robo|Robo|0
98|Robo a casa habitación|Robo a casa habitación|0
99|Robo calificado|Robo calificado|0
100|Robo de autopartes|Robo de autopartes|0
101|Robo de vehículo|Robo de vehículo|0
102|Secuestro (Art. 12)|Secuestro (Art. 12)|0
103|Secuestro (Art. 13)|Secuestro (Art. 13)|0
104|Secuestro con liberación espontanea|Secuestro con liberación espontanea|0
105|Sedición|Sedición|0
106|Sustracción o retención de menores|Sustracción o retención de menores|0
