id|code|sectionName|sectionCode|fieldName|index|is_obsolete|idSubsection|type
1|imputed.name|Datos personales y entorno social|1|Nombre|1|0|1|String
2|imputed.lastNameP|Datos personales y entorno social|1|Apellido Paterno|2|0|2|String
3|imputed.lastNameM|Datos personales y entorno social|1|Apellido Materno|3|0|3|String
4|imputed.birthDate|Datos personales y entorno social|1|Fecha de nacimiento|4|0|4|Date
5|imputed.gender|Datos personales y entorno social|1|Género|5|0|5|Boolean
6|imputed.phone|Datos personales y entorno social|1|Celular|6|0|6|String
7|imputed.maritalStatus.id|Datos personales y entorno social|1|Estado civil|7|0|7|MaritalStatus
8|imputed.yearsMaritalStatus|Datos personales y entorno social|1|Años de duración|8|0|7|Integer
9|imputed.boys|Datos personales y entorno social|1|Total de hijos|10|0|8|Integer
10|imputed.dependentBoys|Datos personales y entorno social|1|Total de dependientes económicos|10|0|8|Integer
11|imputed.birthCountry.id|Datos personales y entorno social|1|País de nacimiento|11|0|9|Country
12|imputed.birthState|Datos personales y entorno social|1|Estado de nacimiento|12|0|9|String
13|imputed.birthMunicipality|Datos personales y entorno social|1|Municipio de nacimiento|13|0|9|String
14|imputed.birthLocation|Datos personales y entorno social|1|Ciudad de nacimiento|14|0|9|String
15|socialEnvironment.physicalCondition|Datos personales y entorno social|1|Enfermedades o condiciones físicas|15|0|10|String
16|socialEnvironment.comment|Datos personales y entorno social|1|Comentarios|16|0|11|String
17|imputedHomes.address|Domicilios|2|Dirección|1|0|12|Address
18|imputedHomes.belong.id|Domicilios|2|El domicilio es propio|2|0|13|Election
19|imputedHomes.registerType.id|Domicilios|2|Tipo de domicilio|3|0|14|RegisterType
20|imputedHomes.timeLive|Domicilios|2|Tempo de vivir en el domicilio/residencia|4|0|14|String
21|imputedHomes.reasonChange|Domicilios|2|Razón de cambio|5|0|14|String
22|imputedHomes.description|Domicilios|2|Descripción de como llegar al domicilio|6|0|14|String
23|imputedHomes.schedule|Domicilios|2|Disponibilidad|7|0|100|Schedule
24|socialNetwork.name|Red social|3|Nombre|1|0|15|String
25|socialNetwork.relationship.id|Red social|3|Parentesco|2|0|16|Relationship
26|socialNetwork.phone|Red social|3|Teléfono|3|0|17|String
27|socialNetwork.documentType.id|Red social|3|Identificación presentada|4|0|18|DocumentType
28|socialNetwork.specification|Red social|3|Especificación de la identificación|5|0|18|String
29|socialNetwork.age|Red social|3|Edad|6|0|19|Integer
30|socialNetwork.dependent.id|Red social|3|Dependiente económico|7|0|20|Election
31|socialNetwork.livingWith.id|Red social|3|Vive con el imputado|8|0|21|Election
32|socialNetwork.address|Red social|3|Dirección|9|0|21|String
33|references.fullName|Referencias personales|4|Nombre|1|0|22|String
34|references.relationship.id|Referencias personales|4|Parentesco|2|0|45|Relationship
35|references.phone|Referencias personales|4|Teléfono|3|0|23|String
36|references.documentType.id|Referencias personales|4|Identificación presentada|4|0|24|DocumentType
37|references.specification|Referencias personales|4|Especificación de la identificación|5|0|24|String
38|references.age|Referencias personales|4|Edad|6|0|25|Integer
39|references.address|Referencias personales|4|Dirección|7|0|26|String
40|jobs.company|Historia laboral|5|Empresa|1|0|27|String
41|jobs.post|Historia laboral|5|Puesto|2|0|28|String
42|jobs.nameHead|Historia laboral|5|Nombre del patrón|3|0|29|String
43|jobs.phone|Historia laboral|5|Teléfono|4|0|30|String
44|jobs.address|Historia laboral|5|Dirección|5|0|31|String
45|jobs.registerType.id|Historia laboral|5|Tipo de empleo|6|0|32|RegisterType
46|jobs.start|Historia laboral|5|Fecha de inicio|7|0|32|Date
47|jobs.salaryWeek|Historia laboral|5|Salario semanal|8|0|32|Float
48|jobs.schedule|Historia laboral|5|Disponibilidad|9|0|200|Schedule
49|jobs.startPrev|Historia laboral|5|Fecha de inicio|10|0|32|Date
50|jobs.end|Historia laboral|5|Fecha de fin|11|0|32|Date
51|jobs.reasonChange|Historia laboral|5|Motivo de cambio|12|0|32|String
52|school.name|Historia escolar|6|Escuela|1|0|33|String
53|school.phone|Historia escolar|6|Teléfono|2|0|34|String
54|school.address|Historia escolar|6|Dirección|3|0|35|String
55|school.degree.id|Historia escolar|6|Nivel escolar|4|0|36|Degree
56|school.schedule|Historia escolar|6|Disponibilidad|5|0|37|Schedule
57|drugs.drugType.id|Sustancias|7|Tipo de sustancia|1|0|38|DrugType
58|drugs.specificationType|Sustancias|7|Especificación de la sustancia|2|0|38|String
59|drugs.periodicity.id|Sustancias|7|Periodicidad|3|0|39|Periodicity
60|drugs.specificationPeriodicity|Sustancias|7|Especificación de la periodicidad|4|0|39|String
61|drugs.quantity|Sustancias|7|Cantidad|5|0|40|String
62|drugs.lastUse|Sustancias|7|Último uso|6|0|41|Date
