id|name|description|bsolete
1|CASE_OBSOLETE|Eliminar entrevista|0  
2|EDIT_MEETING|Modificar entrevista de riesgos procesales|0
3|EDIT_LEGAL_INFORMATION|Modificar información legal|0
4|CHANGE_STATUS_SOURCE|Cambiar el estado de fuentes a entevista de verificación incompleta|0
5|EDIT_TECHNICAL_REVIEW|Modificar instrumento de evaluación de riesgos|0
6|AUTHORIZE_SOURCES|Autorizar fuentes para verificación|0
7|NOT_PROSECUTE|El caso no se judicializó|0
8|MONPLAN_AUTH|Solicitar autorización plan seguimiento|0
9|UPDATE_MONPLAN_AUTH|Solicitar autorización plan seguimiento modificado|0
10|CASE_OBSOLETE_SUPERVISION|Eliminar caso en supervisión|0
11|CLOSE_CASE_SUPERVISION|Cerrar caso en supervisión|0
12|GET_FREEDOM|El imputado alcanzó su libertad|0
