id_supervision_activity|name|description|is_obsolete|specification|code
1|Llamada telefónica|Llamada telefónica|0|0|LATE
2|Revisión de carpeta judicial|Revisión de carpeta judicial|0|0|RCJ
3|Visita domiciliar|Visita domiciliar|0|0|VIDO
4|Revisión de agenda de audiencias|Revisión de agenda de audiencias|0|0|RAA
5|Entrevista personal|Entrevista personal|0|0|ENPE
6|Elaboración de oficio o comunicación oficial|Elaboración de oficio o comunicación oficial|0|0|EOCO
7|Correo electrónico|Correo electrónico|0|0|COEL
8|Toma de huella digital|Toma de huella digital|0|0|THD
9|Otro|Otro|0|1|OTRO
10|Actividad de canalización|Actividad de canalización|0|0|ACCA
